Request id,Pickup point,Driver id,Status,Request,Hrs,Min,Sec,Drop timestamp,Timeslot,Demand,Supply,Gap
619,Airport,1,Trip Completed,11-07-2016 00:00,11,51,0,11-07-2016 13:00,Morning,Demand,Supply,
867,Airport,1,Trip Completed,11-07-2016 00:00,17,57,0,11-07-2016 18:47,Afternoon,Demand,Supply,
1807,City,1,Trip Completed,12-07-2016 00:00,9,17,0,12-07-2016 09:58,Morning,Demand,Supply,
2532,Airport,1,Trip Completed,12-07-2016 00:00,21,8,0,12-07-2016 22:03,Night,Demand,Supply,
3112,City,1,Trip Completed,13-07-2016 00:00,8,33,16,13-07-2016 09:25,Morning,Demand,Supply,
3879,Airport,1,Trip Completed,13-07-2016 00:00,21,57,28,13-07-2016 22:28,Night,Demand,Supply,
4270,Airport,1,Trip Completed,14-07-2016 00:00,6,15,32,14-07-2016 07:13,Early Morning,Demand,Supply,
5510,Airport,1,Trip Completed,15-07-2016 00:00,5,11,52,15-07-2016 06:07,Early Morning,Demand,Supply,
6248,City,1,Trip Completed,15-07-2016 00:00,17,57,27,15-07-2016 18:50,Afternoon,Demand,Supply,
267,City,2,Trip Completed,11-07-2016 00:00,6,46,0,11-07-2016 07:25,Early Morning,Demand,Supply,
1467,Airport,2,Trip Completed,12-07-2016 00:00,5,8,0,12-07-2016 06:02,Early Morning,Demand,Supply,
1983,City,2,Trip Completed,12-07-2016 00:00,12,30,0,12-07-2016 12:57,Morning,Demand,Supply,
2784,Airport,2,Trip Completed,13-07-2016 00:00,4,49,20,13-07-2016 05:23,Early Morning,Demand,Supply,
3075,City,2,Trip Completed,13-07-2016 00:00,8,2,53,13-07-2016 09:16,Morning,Demand,Supply,
3379,City,2,Trip Completed,13-07-2016 00:00,14,23,2,13-07-2016 15:35,Afternoon,Demand,Supply,
3482,Airport,2,Trip Completed,13-07-2016 00:00,17,23,18,13-07-2016 18:20,Afternoon,Demand,Supply,
4652,City,2,Trip Completed,14-07-2016 00:00,12,1,2,14-07-2016 12:36,Morning,Demand,Supply,
5335,Airport,2,Trip Completed,14-07-2016 00:00,22,24,13,14-07-2016 23:18,Night,Demand,Supply,
535,Airport,3,Trip Completed,11-07-2016 00:00,10,0,0,11-07-2016 10:31,Morning,Demand,Supply,
960,Airport,3,Trip Completed,11-07-2016 00:00,18,45,0,11-07-2016 19:23,Evening,Demand,Supply,
1934,Airport,3,Trip Completed,12-07-2016 00:00,11,17,0,12-07-2016 12:23,Morning,Demand,Supply,
2083,Airport,3,Trip Completed,12-07-2016 00:00,15,46,0,12-07-2016 16:40,Afternoon,Demand,Supply,
2211,Airport,3,Trip Completed,12-07-2016 00:00,18,0,0,12-07-2016 18:28,Evening,Demand,Supply,
3096,Airport,3,Trip Completed,13-07-2016 00:00,8,17,29,13-07-2016 09:22,Morning,Demand,Supply,
3881,Airport,3,Trip Completed,13-07-2016 00:00,21,54,18,13-07-2016 22:51,Night,Demand,Supply,
5254,City,3,Trip Completed,14-07-2016 00:00,21,23,3,14-07-2016 22:25,Night,Demand,Supply,
5434,City,3,Trip Completed,15-07-2016 00:00,2,41,38,15-07-2016 03:24,Late Night,Demand,Supply,
5916,City,3,Trip Completed,15-07-2016 00:00,10,0,43,15-07-2016 10:53,Morning,Demand,Supply,
669,City,4,Trip Completed,11-07-2016 00:00,13,8,0,11-07-2016 13:49,Afternoon,Demand,Supply,
1567,Airport,4,Trip Completed,12-07-2016 00:00,6,21,0,12-07-2016 07:10,Early Morning,Demand,Supply,
1826,City,4,Trip Completed,12-07-2016 00:00,9,27,0,12-07-2016 10:27,Morning,Demand,Supply,
2102,City,4,Trip Completed,12-07-2016 00:00,16,9,0,12-07-2016 17:01,Afternoon,Demand,Supply,
2847,Airport,4,Trip Completed,13-07-2016 00:00,5,34,20,13-07-2016 06:09,Early Morning,Demand,Supply,
3722,Airport,4,Trip Completed,13-07-2016 00:00,19,57,59,13-07-2016 20:32,Evening,Demand,Supply,
4075,City,4,Trip Completed,14-07-2016 00:00,2,17,35,14-07-2016 03:21,Late Night,Demand,Supply,
4686,City,4,Trip Completed,14-07-2016 00:00,13,1,10,14-07-2016 13:45,Afternoon,Demand,Supply,
5771,Airport,4,Trip Completed,15-07-2016 00:00,8,30,6,15-07-2016 09:37,Morning,Demand,Supply,
6106,Airport,4,Trip Completed,15-07-2016 00:00,15,1,20,15-07-2016 15:47,Afternoon,Demand,Supply,
312,City,5,Trip Completed,11-07-2016 00:00,7,27,0,11-07-2016 08:31,Morning,Demand,Supply,
577,Airport,5,Trip Completed,11-07-2016 00:00,11,3,0,11-07-2016 12:01,Morning,Demand,Supply,
1179,City,5,Trip Completed,11-07-2016 00:00,20,58,0,11-07-2016 21:45,Evening,Demand,Supply,
1756,Airport,5,Trip Completed,12-07-2016 00:00,8,40,0,12-07-2016 09:23,Morning,Demand,Supply,
2052,City,5,Trip Completed,12-07-2016 00:00,14,48,0,12-07-2016 15:50,Afternoon,Demand,Supply,
2559,City,5,Trip Completed,12-07-2016 00:00,21,32,0,12-07-2016 22:29,Night,Demand,Supply,
3014,City,5,Trip Completed,13-07-2016 00:00,7,28,14,13-07-2016 08:29,Morning,Demand,Supply,
3317,City,5,Trip Completed,13-07-2016 00:00,12,14,27,13-07-2016 12:46,Morning,Demand,Supply,
4297,City,5,Trip Completed,14-07-2016 00:00,6,43,1,14-07-2016 07:49,Early Morning,Demand,Supply,
5857,Airport,5,Trip Completed,15-07-2016 00:00,9,8,50,15-07-2016 10:07,Morning,Demand,Supply,
6690,Airport,5,Trip Completed,15-07-2016 00:00,22,41,41,15-07-2016 23:51,Night,Demand,Supply,
1517,Airport,6,Trip Completed,12-07-2016 00:00,5,45,0,12-07-2016 06:28,Early Morning,Demand,Supply,
1999,Airport,6,Trip Completed,12-07-2016 00:00,13,2,0,12-07-2016 13:51,Afternoon,Demand,Supply,
2960,Airport,6,Trip Completed,13-07-2016 00:00,6,50,33,13-07-2016 07:40,Early Morning,Demand,Supply,
3882,City,6,Trip Completed,13-07-2016 00:00,21,53,3,13-07-2016 22:45,Night,Demand,Supply,
4081,Airport,6,Trip Completed,14-07-2016 00:00,2,37,14,14-07-2016 03:30,Late Night,Demand,Supply,
4740,City,6,Trip Completed,14-07-2016 00:00,14,50,7,14-07-2016 15:38,Afternoon,Demand,Supply,
5270,City,6,Trip Completed,14-07-2016 00:00,21,33,55,14-07-2016 22:25,Night,Demand,Supply,
6758,Airport,6,Trip Completed,15-07-2016 00:00,0,3,39,15-07-2016 01:07,Late Night,Demand,Supply,
5741,City,6,Trip Completed,15-07-2016 00:00,7,52,51,15-07-2016 08:38,Morning,Demand,Supply,
6087,Airport,6,Trip Completed,15-07-2016 00:00,14,28,50,15-07-2016 15:33,Afternoon,Demand,Supply,
1039,City,7,Trip Completed,11-07-2016 00:00,19,31,0,11-07-2016 20:41,Evening,Demand,Supply,
1273,Airport,7,Trip Completed,11-07-2016 00:00,22,7,0,11-07-2016 23:12,Night,Demand,Supply,
2480,City,7,Trip Completed,12-07-2016 00:00,20,39,0,12-07-2016 21:28,Evening,Demand,Supply,
4105,City,7,Trip Completed,14-07-2016 00:00,3,39,38,14-07-2016 04:39,Late Night,Demand,Supply,
4509,City,7,Trip Completed,14-07-2016 00:00,9,11,13,14-07-2016 10:17,Morning,Demand,Supply,
4986,Airport,7,Trip Completed,14-07-2016 00:00,18,52,32,14-07-2016 19:50,Evening,Demand,Supply,
5898,City,7,Trip Completed,15-07-2016 00:00,9,50,28,15-07-2016 10:40,Morning,Demand,Supply,
6142,Airport,7,Trip Completed,15-07-2016 00:00,15,50,15,15-07-2016 16:36,Afternoon,Demand,Supply,
380,Airport,8,Trip Completed,11-07-2016 00:00,8,18,0,11-07-2016 09:18,Morning,Demand,Supply,
1050,Airport,8,Trip Completed,11-07-2016 00:00,19,39,0,11-07-2016 20:30,Evening,Demand,Supply,
1769,City,8,Trip Completed,12-07-2016 00:00,8,57,0,12-07-2016 09:24,Morning,Demand,Supply,
2520,City,8,Trip Completed,12-07-2016 00:00,21,5,0,12-07-2016 22:20,Night,Demand,Supply,
3265,Airport,8,Trip Completed,13-07-2016 00:00,10,22,7,13-07-2016 11:07,Morning,Demand,Supply,
4648,City,8,Trip Completed,14-07-2016 00:00,11,55,10,14-07-2016 12:59,Morning,Demand,Supply,
449,Airport,9,Trip Completed,11-07-2016 00:00,9,8,0,11-07-2016 09:52,Morning,Demand,Supply,
846,Airport,9,Trip Completed,11-07-2016 00:00,17,46,0,11-07-2016 18:52,Afternoon,Demand,Supply,
1346,Airport,9,Trip Completed,11-07-2016 00:00,23,39,0,12-07-2016 00:23,Night,Demand,Supply,
1474,Airport,9,Trip Completed,12-07-2016 00:00,5,13,0,12-07-2016 05:56,Early Morning,Demand,Supply,
2240,City,9,Trip Completed,12-07-2016 00:00,18,20,0,12-07-2016 18:54,Evening,Demand,Supply,
3072,Airport,9,Trip Completed,13-07-2016 00:00,8,4,57,13-07-2016 08:36,Morning,Demand,Supply,
3459,Airport,9,Trip Completed,13-07-2016 00:00,17,3,30,13-07-2016 17:31,Afternoon,Demand,Supply,
3774,Airport,9,Trip Completed,13-07-2016 00:00,20,41,24,13-07-2016 21:27,Evening,Demand,Supply,
4023,City,9,Trip Completed,13-07-2016 00:00,23,58,41,14-07-2016 00:58,Night,Demand,Supply,
4117,City,9,Trip Completed,14-07-2016 00:00,4,21,42,14-07-2016 05:07,Early Morning,Demand,Supply,
4880,Airport,9,Trip Completed,14-07-2016 00:00,17,58,46,14-07-2016 19:02,Afternoon,Demand,Supply,
